INDICATOR,Indicator,LOCATION,Country,TIME,Time,Value,Flag Codes,Flags
20600,GERD - Total (in '000 local currency),AUS,Australia,2013,2013,33471500,,
20600,GERD - Total (in '000 local currency),AUS,Australia,2015,2015,31179000,,
20600,GERD - Total (in '000 local currency),AUS,Australia,2017,2017,33062000,,
20600,GERD - Total (in '000 local currency),AUT,Austria,2013,2013,9571282,,
20600,GERD - Total (in '000 local currency),AUT,Austria,2014,2014,10275180,,
20600,GERD - Total (in '000 local currency),AUT,Austria,2015,2015,10499146,,
20600,GERD - Total (in '000 local currency),AUT,Austria,2016,2016,11135560,,
20600,GERD - Total (in '000 local currency),AUT,Austria,2017,2017,11289781,,
20600,GERD - Total (in '000 local currency),AUT,Austria,2018,2018,12246010,,
20600,GERD - Total (in '000 local currency),AUT,Austria,2019,2019,12799700,,
20600,GERD - Total (in '000 local currency),BEL,Belgium,2013,2013,9156953,,
20600,GERD - Total (in '000 local currency),BEL,Belgium,2014,2014,9551244,,
20600,GERD - Total (in '000 local currency),BEL,Belgium,2015,2015,10118200,,
20600,GERD - Total (in '000 local currency),BEL,Belgium,2016,2016,10852674,,
20600,GERD - Total (in '000 local currency),BEL,Belgium,2017,2017,11867981,,
20600,GERD - Total (in '000 local currency),BEL,Belgium,2018,2018,12709638,,
20600,GERD - Total (in '000 local currency),CAN,Canada,2013,2013,32441000,,
20600,GERD - Total (in '000 local currency),CAN,Canada,2014,2014,34196000,,
20600,GERD - Total (in '000 local currency),CAN,Canada,2015,2015,33703000,,
20600,GERD - Total (in '000 local currency),CAN,Canada,2016,2016,35016000,,
20600,GERD - Total (in '000 local currency),CAN,Canada,2017,2017,35732000,,
20600,GERD - Total (in '000 local currency),CAN,Canada,2018,2018,34756000,,
20600,GERD - Total (in '000 local currency),CAN,Canada,2019,2019,35541000,,
20600,GERD - Total (in '000 local currency),CZE,Czechia,2013,2013,77853386,,
20600,GERD - Total (in '000 local currency),CZE,Czechia,2014,2014,85104467,,
20600,GERD - Total (in '000 local currency),CZE,Czechia,2015,2015,88663390,,
20600,GERD - Total (in '000 local currency),CZE,Czechia,2016,2016,80109157,,
20600,GERD - Total (in '000 local currency),CZE,Czechia,2017,2017,90386025,,
20600,GERD - Total (in '000 local currency),CZE,Czechia,2018,2018,102753730,,
20600,GERD - Total (in '000 local currency),DNK,Denmark,2013,2013,57320700,,
20600,GERD - Total (in '000 local currency),DNK,Denmark,2014,2014,57733000,,
20600,GERD - Total (in '000 local currency),DNK,Denmark,2015,2015,62210000,,
20600,GERD - Total (in '000 local currency),DNK,Denmark,2016,2016,65191000,,
20600,GERD - Total (in '000 local currency),DNK,Denmark,2017,2017,66344000,,
20600,GERD - Total (in '000 local currency),DNK,Denmark,2018,2018,68118000,,
20600,GERD - Total (in '000 local currency),FIN,Finland,2013,2013,6684100,,
20600,GERD - Total (in '000 local currency),FIN,Finland,2014,2014,6512100,,
20600,GERD - Total (in '000 local currency),FIN,Finland,2015,2015,6070900,,
20600,GERD - Total (in '000 local currency),FIN,Finland,2016,2016,5926100,,
20600,GERD - Total (in '000 local currency),FIN,Finland,2017,2017,6173200,,
20600,GERD - Total (in '000 local currency),FIN,Finland,2018,2018,6437900,,
20600,GERD - Total (in '000 local currency),FRA,France,2013,2013,47362050,,
20600,GERD - Total (in '000 local currency),FRA,France,2014,2014,48926860,,
20600,GERD - Total (in '000 local currency),FRA,France,2015,2015,49839130,,
20600,GERD - Total (in '000 local currency),FRA,France,2016,2016,49650923,,
20600,GERD - Total (in '000 local currency),FRA,France,2017,2017,50619332,,
20600,GERD - Total (in '000 local currency),FRA,France,2018,2018,51768559,,
20600,GERD - Total (in '000 local currency),DEU,Germany,2013,2013,79729508,,
20600,GERD - Total (in '000 local currency),DEU,Germany,2014,2014,84246766,,
20600,GERD - Total (in '000 local currency),DEU,Germany,2015,2015,88781819,,
20600,GERD - Total (in '000 local currency),DEU,Germany,2016,2016,92173556,,
20600,GERD - Total (in '000 local currency),DEU,Germany,2017,2017,99553616,,
20600,GERD - Total (in '000 local currency),DEU,Germany,2018,2018,104768000,,
20600,GERD - Total (in '000 local currency),GRC,Greece,2013,2013,1465670,,
20600,GERD - Total (in '000 local currency),GRC,Greece,2014,2014,1488740,,
20600,GERD - Total (in '000 local currency),GRC,Greece,2015,2015,1703820,,
20600,GERD - Total (in '000 local currency),GRC,Greece,2016,2016,1754180,,
20600,GERD - Total (in '000 local currency),GRC,Greece,2017,2017,2038430,,
20600,GERD - Total (in '000 local currency),GRC,Greece,2018,2018,2174670,,
20600,GERD - Total (in '000 local currency),HUN,Hungary,2013,2013,420100300,,
20600,GERD - Total (in '000 local currency),HUN,Hungary,2014,2014,441092100,,
20600,GERD - Total (in '000 local currency),HUN,Hungary,2015,2015,468389700,,
20600,GERD - Total (in '000 local currency),HUN,Hungary,2016,2016,427191800,,
20600,GERD - Total (in '000 local currency),HUN,Hungary,2017,2017,517258000,,
20600,GERD - Total (in '000 local currency),HUN,Hungary,2018,2018,654163100,,
20600,GERD - Total (in '000 local currency),ISL,Iceland,2013,2013,33342300,,
20600,GERD - Total (in '000 local currency),ISL,Iceland,2014,2014,40395266,,
20600,GERD - Total (in '000 local currency),ISL,Iceland,2015,2015,50408600,,
20600,GERD - Total (in '000 local currency),ISL,Iceland,2016,2016,52999400,,
20600,GERD - Total (in '000 local currency),ISL,Iceland,2017,2017,55061500,,
20600,GERD - Total (in '000 local currency),ISL,Iceland,2018,2018,56900200,,
20600,GERD - Total (in '000 local currency),IRL,Ireland,2013,2013,2813140,,
20600,GERD - Total (in '000 local currency),IRL,Ireland,2014,2014,2967212,,
20600,GERD - Total (in '000 local currency),IRL,Ireland,2015,2015,3108450,,
20600,GERD - Total (in '000 local currency),IRL,Ireland,2016,2016,3175760,,
