#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,
"Dataset: Science,technology and innovation",,,,,,,,
Indicator,,Total R&D personnel per thousand labour force (HC),,,,,,
Time,,2013,2014,2015,2016,2017,2018,2019
Country,,,,,,,,
Albania,,..,..,..,..,..,..,..
Algeria,,..,..,..,..,8.34905,..,..
American Samoa,,..,..,..,..,..,..,..
Angola,,..,..,..,0.18168,..,..,..
Argentina,,5.5731,5.70699,5.5933,5.73809,5.55853,5.70534,..
Armenia,,3.84723,4.17147,3.77812,3.72279,3.69574,3.41794,..
Australia,,..,..,..,..,..,..,..
Austria,,26.41285,..,28.16698,..,28.63041,..,..
Azerbaijan,,4.77342,4.88061,4.75049,4.54038,4.09144,3.96204,..
Bahrain,,..,2.30086,..,..,..,..,..
Bangladesh,,..,..,..,..,..,..,..
Belarus,,5.69469,5.35372,5.14577,5.10826,5.22438,5.40797,..
Belgium,,20.26431,10.17724,22.70253,10.82861,25.49832,11.27778,..
Benin,,..,..,..,..,..,..,..
Bermuda,,..,..,..,..,..,..,..
Bolivia (Plurinational State of),,0.51463,0.5468,..,..,..,..,..
Bosnia and Herzegovina,,1.55097,2.29866,2.26521,2.08187,2.62751,2.16099,..
Botswana,,1.80532,..,..,..,..,..,..
Brazil,,5.11761,5.91831,6.30509,6.88748,7.1079,7.45575,..
Brunei Darussalam,,..,..,..,..,..,3.92922,..
Bulgaria,,6.59636,7.56779,8.84565,9.85387,9.25762,4.94281,..
Burkina Faso,,..,0.53384,..,..,0.59681,..,..
Burundi,,..,..,..,..,..,0.1559,..
Cambodia,,..,..,0.32951,..,..,..,..
Cameroon,,..,..,..,..,..,..,..
Canada,,8.33035,8.22329,8.20745,7.93226,7.83784,..,..
Cabo Verde,,..,0.91646,..,..,..,..,..
Central African Republic,,..,..,..,..,..,..,..
Chad,,..,..,..,0.5159,..,0.53102,..
Chile,,2.2702,2.7213,2.56871,2.77461,2.70681,..,..
China,,6.25485,6.65389,6.81318,7.24532,7.72236,8.18238,..
"China, Hong Kong Special Administrative Region",,8.67124,8.96407,9.3526,9.3249,9.73198,10.09628,..
"China, Macao Special Administrative Region",,4.33867,4.99479,6.36,6.81447,7.79123,8.14707,..
Colombia,,0.11086,0.1119,0.13184,0.16928,0.16639,..,..
Congo,,..,..,..,..,..,..,..
Costa Rica,,3.10404,2.7168,2.62533,2.42931,2.32103,2.16879,..
Côte d'Ivoire,,..,..,..,0.72967,..,..,..
Croatia,,9.2251,8.74321,9.13254,10.1072,10.61596,4.37574,..
Cuba,,2.91143,2.82513,4.60493,3.70861,3.67261,3.76572,..
Cyprus,,6.65352,6.61256,6.58332,6.96788,7.36111,2.36902,..
Czechia,,17.28377,18.18276,18.66858,18.45609,19.77723,20.72477,..
Democratic Republic of the Congo,,..,..,0.11002,..,..,..,..
Denmark,,29.31233,28.91599,29.46367,29.01621,30.61498,..,..
Ecuador,,1.82018,2.07894,..,..,..,..,..
Egypt,,5.58968,7.61731,7.82799,7.87682,8.0002,8.05383,..
El Salvador,,..,..,0.40702,0.37955,0.40677,0.42581,..
Estonia,,15.08878,15.51318,14.41201,13.27462,13.60285,7.03717,..
Eswatini,,..,..,2.19093,..,..,..,..
Ethiopia,,0.42245,..,..,..,0.62618,..,..
Faeroe Islands,,..,..,..,..,..,..,..
Finland,,29.3912,28.75549,28.23883,26.90128,26.80314,13.79786,..
France,,19.72247,20.45188,20.70434,20.4596,21.10511,10.39302,..
Gabon,,..,1.59821,..,..,..,..,..
Gambia,,..,..,..,..,..,1.97403,..
Georgia,,2.49007,4.74769,5.52519,5.62485,5.88176,6.92948,..
Germany,,20.32567,8.27369,21.46999,9.30106,22.43797,9.9239,..
Ghana,,..,..,0.6176,..,..,..,..
Greece,,17.247,6.28036,20.19636,6.19574,19.9766,7.77932,..
Greenland,,..,..,..,..,..,..,..
Guam,,..,..,..,..,..,..,..
Guatemala,,0.22383,0.29247,0.29402,0.28238,0.26824,0.17629,..
Guinea,,0.2025,..,..,..,..,..,..
Honduras,,..,..,0.07561,..,0.38751,..,..
Hungary,,13.30717,12.71008,12.26069,11.73292,13.00203,6.68876,..
Iceland,,25.12217,..,28.44823,..,30.23989,..,..
India,,..,..,0.5941,..,..,..,..
Indonesia,,..,..,..,1.25409,1.37693,1.46626,..
Iran (Islamic Republic of),,5.39585,..,6.21635,..,10.92482,..,..
Iraq,,..,0.73204,0.83368,1.02721,1.40312,1.44437,..
Ireland,,21.00385,10.8968,21.80337,10.60656,21.80902,..,..
Israel,,..,..,..,..,..,..,..
Italy,,14.81259,14.60651,15.29182,16.85336,18.53362,..,..
Jamaica,,..,..,..,..,..,..,..
Japan,,17.17009,17.84246,17.69136,17.55103,17.72213,17.59882,..
Jordan,,..,..,5.11196,2.33459,2.32513,4.22994,..
Kazakhstan,,2.64425,2.844,2.70873,2.52877,2.44669,2.47212,..
Kenya,,..,..,..,..,..,..,..
Kuwait,,2.36845,2.94033,2.51357,2.5424,2.70262,2.66275,..
Kyrgyzstan,,..,1.68898,1.7895,1.76576,1.70144,1.75185,..
Lao People's Democratic Republic,,..,..,..,..,..,..,..
Latvia,,9.95762,10.85565,11.07624,10.87026,11.20047,..,..
Lesotho,,..,..,0.18323,..,..,..,..
Libya,,..,..,..,..,..,..,..
Lithuania,,15.18116,16.30345,14.64932,14.96847,16.08705,..,..
Luxembourg,,21.84318,9.63567,23.1224,9.57991,23.52184,..,..
Madagascar,,..,0.4846,..,0.48232,0.48415,0.46878,..
Malawi,,..,..,..,..,..,..,..
Malaysia,,..,8.0194,9.35414,9.8131,..,8.02028,..
Mali,,..,..,0.26712,..,0.30466,..,..
Malta,,11.43285,11.52572,11.70799,11.66666,11.85016,..,..
Mauritania,,..,..,..,2.01367,..,2.67158,..
Mauritius,,..,..,..,..,2.92562,3.41831,..
Mexico,,1.48179,1.35697,1.44816,1.64857,..,..,..
Monaco,,..,..,..,..,..,..,..
Mongolia,,2.16731,2.14659,1.95405,1.72909,2.51831,2.29355,..
